President,Start year,President,Party,Vice President
1,1789,George Washington,Nonpartisan [13],John Adams
2,1797,John Adams,Federalist,Thomas Jefferson
3,1801,Thomas Jefferson,Democratic - Republican,Aaron Burr
4,1809,James Madison,Democratic - Republican,George Clinton
5,1817,James Monroe,Democratic - Republican,Daniel D. Tompkins
6,1825,John Quincy Adams,Democratic - Republican,John C. Calhoun
7,1829,Andrew Jackson,Democratic,John C. Calhoun
8,1837,Martin Van Buren,Democratic,Richard Mentor Johnson
9,1841,William Henry Harrison,Whig,John Tyler
10,1841,John Tyler,Whig,Office vacant
11,1845,James K. Polk,Democratic,George M. Dallas
12,1849,Zachary Taylor,Whig,Millard Fillmore
13,1850,Millard Fillmore,Whig,Office vacant
14,1853,Franklin Pierce,Democratic,William R. King
15,1857,James Buchanan,Democratic,John C. Breckinridge
16,1861,Abraham Lincoln,Republican (National Union),Hannibal Hamlin
17,1865,Andrew Johnson,National Union (Democratic),Office vacant
18,1869,Ulysses S. Grant,Republican,Schuyler Colfax
19,1877,Rutherford B. Hayes,Republican,William A. Wheeler
20,1881,James A. Garfield,Republican,Chester A. Arthur
21,1881,Chester A. Arthur,Republican,Office vacant
22,1885,Grover Cleveland,Democratic,Thomas A. Hendricks
23,1889,Benjamin Harrison,Republican,Levi P. Morton
24,1893,Grover Cleveland,Democratic,Adlai Stevenson
25,1897,William McKinley,Republican,Garret Hobart
26,1901,Theodore Roosevelt,Republican,Office vacant
27,1909,William Howard Taft,Republican,James S. Sherman
28,1913,Woodrow Wilson,Democratic,Thomas R. Marshall
29,1921,Warren G. Harding,Republican,Calvin Coolidge
30,1923,Calvin Coolidge,Republican,Office vacant
31,1929,Herbert Hoover,Republican,Charles Curtis
32,1933,Franklin D. Roosevelt,Democratic,John Nance Garner
33,1945,Harry S. Truman,Democratic,Office vacant
34,1953,Dwight D. Eisenhower,Republican,Richard Nixon
35,1961,John F. Kennedy,Democratic,Lyndon B. Johnson
36,1963,Lyndon B. Johnson,Democratic,Office vacant
37,1969,Richard Nixon,Republican,Spiro Agnew
38,1974,Gerald Ford,Republican,Office vacant
39,1977,Jimmy Carter,Democratic,Walter Mondale
40,1981,Ronald Reagan,Republican,George H. W. Bush
41,1989,George H. W. Bush,Republican,Dan Quayle
42,1993,Bill Clinton,Democratic,Al Gore
43,2001,George W. Bush,Republican,Dick Cheney
44,2009,Barack Obama,Democratic,Joe Biden
45,2017,Donald Trump,Republican,Mike Pence
46,2021,Joe Biden,Democratic,Kamala Harris
47,2025,Donald Trump,Republican,James David Vance
